order_id,postal_code,region,created_at,sku,qty,weight_kg
ORD1,30752,NE,2025-08-02T21:37:00,SKU123,2,1.0
ORD2,85949,MW,2025-08-04T08:40:00,SKU789,3,1.79
ORD3,01975,W,2025-08-05T18:38:00,SKU789,3,1.96
ORD4,90588,MW,2025-08-01T19:38:00,SKU123,1,2.14
ORD5,40069,MW,2025-08-05T04:41:00,SKU789,1,2.8
ORD6,15786,SC,2025-08-06T03:49:00,SKU789,3,1.28
ORD7,38146,W,2025-08-05T00:00:00,SKU456,4,2.62
ORD8,96432,NE,2025-08-06T12:24:00,SKU789,2,1.27
ORD9,59278,NE,2025-08-06T20:48:00,SKU123,4,0.32
ORD10,67518,SC,2025-08-07T08:11:00,SKU123,5,1.8
ORD11,09081,MW,2025-08-06T02:00:00,SKU123,5,0.21
ORD12,94638,W,2025-08-03T07:41:00,SKU789,1,1.35
ORD13,87963,MW,2025-08-05T10:34:00,SKU123,1,1.38
ORD14,59401,W,2025-08-03T20:45:00,SKU456,2,1.25
ORD15,94910,SC,2025-08-06T02:31:00,SKU123,3,0.23
ORD16,63590,NE,2025-08-03T23:37:00,SKU789,5,2.66
ORD17,52006,MW,2025-08-02T14:28:00,SKU123,5,2.04
ORD18,51761,MW,2025-08-03T14:04:00,SKU789,2,1.03
ORD19,87791,W,2025-08-02T18:36:00,SKU456,4,0.75
ORD20,72362,W,2025-08-01T03:57:00,SKU789,2,2.57
ORD21,37460,W,2025-08-04T22:33:00,SKU789,2,2.4
ORD22,15341,NE,2025-08-07T10:04:00,SKU456,2,1.18
ORD23,92001,NE,2025-08-03T10:52:00,SKU456,5,1.0
ORD24,62902,NE,2025-08-04T02:54:00,SKU789,3,2.45
ORD25,99947,MW,2025-08-02T05:45:00,SKU456,2,0.45
ORD26,57425,W,2025-08-04T17:07:00,SKU789,3,1.31
ORD27,67782,MW,2025-08-01T06:32:00,SKU789,1,0.21
ORD28,89435,NE,2025-08-01T12:19:00,SKU789,4,2.58
ORD29,03325,SC,2025-08-04T14:01:00,SKU789,4,2.75
ORD30,79434,MW,2025-08-02T01:05:00,SKU123,2,2.02
ORD31,02109,NE,2025-08-04T09:38:00,SKU456,5,2.6
ORD32,97306,MW,2025-08-06T23:39:00,SKU456,3,2.19
ORD33,65411,SC,2025-08-07T15:14:00,SKU789,4,1.53
ORD34,16395,NE,2025-08-02T15:56:00,SKU123,4,2.37
ORD35,65538,MW,2025-08-04T00:14:00,SKU789,2,1.35
ORD36,16650,SC,2025-08-05T14:35:00,SKU456,4,1.11
ORD37,07140,SC,2025-08-04T21:59:00,SKU789,3,1.35
ORD38,93885,W,2025-08-07T15:21:00,SKU123,5,1.44
ORD39,31421,NE,2025-08-05T00:57:00,SKU123,3,1.87
ORD40,17658,W,2025-08-04T00:06:00,SKU456,5,0.97
ORD41,53652,NE,2025-08-06T12:24:00,SKU456,5,1.7
ORD42,43661,NE,2025-08-04T06:08:00,SKU123,5,1.8
ORD43,44326,W,2025-08-03T22:11:00,SKU123,5,0.99
ORD44,32762,NE,2025-08-04T07:11:00,SKU123,2,2.65
ORD45,22815,W,2025-08-02T10:36:00,SKU456,5,2.05
ORD46,51683,NE,2025-08-02T09:06:00,SKU789,5,1.81
ORD47,40918,W,2025-08-02T14:42:00,SKU789,1,2.46
ORD48,03663,SC,2025-08-04T23:40:00,SKU789,5,1.32
ORD49,15372,SC,2025-08-05T08:34:00,SKU456,1,2.57
ORD50,84373,MW,2025-08-04T17:13:00,SKU456,5,1.3
ORD51,93004,NE,2025-08-01T20:11:00,SKU456,2,1.55
ORD52,42282,SC,2025-08-03T14:07:00,SKU456,5,2.55
ORD53,62457,SC,2025-08-07T22:29:00,SKU789,4,1.87
ORD54,42277,W,2025-08-07T21:28:00,SKU789,5,0.29
ORD55,79575,MW,2025-08-04T13:20:00,SKU123,1,1.56
ORD56,25745,MW,2025-08-02T04:11:00,SKU789,4,2.83
ORD57,60616,MW,2025-08-05T04:00:00,SKU789,3,1.65
ORD58,51713,MW,2025-08-07T06:45:00,SKU456,1,2.98
ORD59,67465,NE,2025-08-07T22:11:00,SKU456,5,0.9
ORD60,56400,SC,2025-08-04T14:07:00,SKU123,3,1.56
ORD61,37891,SC,2025-08-07T01:07:00,SKU456,2,1.39
ORD62,60798,SC,2025-08-02T10:52:00,SKU456,4,1.14
ORD63,93999,SC,2025-08-04T08:38:00,SKU123,3,2.16
ORD64,99622,SC,2025-08-02T03:55:00,SKU123,4,2.06
ORD65,78078,W,2025-08-05T08:13:00,SKU456,1,0.41
ORD66,26501,NE,2025-08-04T16:09:00,SKU789,4,2.4
ORD67,13449,W,2025-08-02T08:37:00,SKU123,4,0.85
ORD68,37628,NE,2025-08-01T15:35:00,SKU789,3,2.16
ORD69,25855,MW,2025-08-04T16:00:00,SKU456,1,2.19
ORD70,91893,SC,2025-08-06T13:04:00,SKU123,1,2.5
ORD71,57945,NE,2025-08-07T12:20:00,SKU456,5,2.66
ORD72,10230,NE,2025-08-01T16:14:00,SKU456,4,2.36
ORD73,92251,NE,2025-08-06T12:14:00,SKU789,2,2.45
ORD74,65919,SC,2025-08-06T19:46:00,SKU123,2,2.73
ORD75,77299,SC,2025-08-01T03:29:00,SKU123,3,2.88
ORD76,19968,SC,2025-08-05T02:28:00,SKU789,2,2.21
ORD77,19939,W,2025-08-06T01:11:00,SKU789,3,1.77
ORD78,53967,NE,2025-08-05T06:58:00,SKU456,4,0.56
ORD79,56014,MW,2025-08-06T01:43:00,SKU123,2,2.9
ORD80,47252,SC,2025-08-06T03:17:00,SKU123,3,2.54
ORD81,57349,NE,2025-08-02T08:02:00,SKU456,5,0.81
ORD82,62823,W,2025-08-03T21:54:00,SKU789,4,1.23
ORD83,12751,NE,2025-08-02T15:12:00,SKU123,4,0.84
ORD84,33734,SC,2025-08-06T02:22:00,SKU456,3,2.64
ORD85,83341,MW,2025-08-04T12:45:00,SKU456,4,1.85
ORD86,47290,SC,2025-08-06T22:56:00,SKU123,2,0.95
ORD87,52615,MW,2025-08-05T03:10:00,SKU456,2,2.25
ORD88,20570,W,2025-08-02T12:14:00,SKU456,1,0.46
ORD89,42889,SC,2025-08-04T14:41:00,SKU456,5,2.54
ORD90,01036,MW,2025-08-05T22:28:00,SKU456,5,0.96
ORD91,76475,W,2025-08-05T08:02:00,SKU123,2,1.29
ORD92,72617,NE,2025-08-06T03:03:00,SKU789,1,2.83
